vid_num,awgn,filter_str,br,psnr
videoSRC02_1280x720_30.yuv,40,0,2000,41.26770536031834
videoSRC02_1280x720_30.yuv,40,0,3000,42.25407315590923
videoSRC02_1280x720_30.yuv,40,0,4000,42.00864689255362
videoSRC03_1280x720_30.yuv,20,0,256,27.67279099680796
videoSRC03_1280x720_30.yuv,20,0,512,29.210120750100117
videoSRC03_1280x720_30.yuv,20,0,768,27.995312489616804
videoSRC03_1280x720_30.yuv,20,0,1000,25.426972356269104
videoSRC03_1280x720_30.yuv,20,0,1500,22.875998472586833
videoSRC03_1280x720_30.yuv,20,0,2000,22.67415455678904
videoSRC03_1280x720_30.yuv,20,0,3000,23.394008299391736
videoSRC03_1280x720_30.yuv,20,0,4000,23.92999559395308
videoSRC03_1280x720_30.yuv,25,0,256,28.74360033184051
videoSRC03_1280x720_30.yuv,25,0,512,31.769236179151875
videoSRC03_1280x720_30.yuv,25,0,768,31.70805264677487
videoSRC03_1280x720_30.yuv,25,0,1000,32.26209490293518
videoSRC03_1280x720_30.yuv,25,0,1500,29.247264663126032
videoSRC03_1280x720_30.yuv,25,0,2000,26.41753212279939
videoSRC03_1280x720_30.yuv,25,0,3000,26.492900662031502
videoSRC03_1280x720_30.yuv,25,0,4000,27.149362910717834
videoSRC03_1280x720_30.yuv,30,0,256,30.004628967172962
videoSRC03_1280x720_30.yuv,30,0,512,33.49767857131463
videoSRC03_1280x720_30.yuv,30,0,768,35.295627751120094
videoSRC03_1280x720_30.yuv,30,0,1000,35.334921962806845
videoSRC03_1280x720_30.yuv,30,0,1500,35.38334133435571
videoSRC03_1280x720_30.yuv,30,0,2000,34.46793616659113
videoSRC03_1280x720_30.yuv,30,0,3000,31.159984484854128
videoSRC03_1280x720_30.yuv,30,0,4000,31.1378872465881
videoSRC03_1280x720_30.yuv,35,0,256,30.870739351707094
videoSRC03_1280x720_30.yuv,35,0,512,34.44134237334978
videoSRC03_1280x720_30.yuv,35,0,768,36.672262827893924
videoSRC03_1280x720_30.yuv,35,0,1000,37.80822392389467
videoSRC03_1280x720_30.yuv,35,0,1500,38.18268569566277
videoSRC03_1280x720_30.yuv,35,0,2000,38.35754100698051
videoSRC03_1280x720_30.yuv,35,0,3000,37.98681189857102
videoSRC03_1280x720_30.yuv,35,0,4000,36.67403525586037
videoSRC03_1280x720_30.yuv,40,0,256,31.391860622825117
videoSRC03_1280x720_30.yuv,40,0,512,35.08662431377543
videoSRC03_1280x720_30.yuv,40,0,768,37.37829757531874
videoSRC03_1280x720_30.yuv,40,0,1000,38.759543331826045
videoSRC03_1280x720_30.yuv,40,0,1500,40.31229382763834
videoSRC03_1280x720_30.yuv,40,0,2000,40.79957831287565
videoSRC03_1280x720_30.yuv,40,0,3000,41.13288852937198
videoSRC03_1280x720_30.yuv,40,0,4000,41.09132659241707
videoSRC04_1280x720_30.yuv,20,0,256,22.592310867456582
videoSRC04_1280x720_30.yuv,20,0,512,23.220340780099452
videoSRC04_1280x720_30.yuv,20,0,768,22.581068764565842
videoSRC04_1280x720_30.yuv,20,0,1000,21.976115690400814
videoSRC04_1280x720_30.yuv,20,0,1500,21.648152286983862
videoSRC04_1280x720_30.yuv,20,0,2000,21.607112130748618
videoSRC04_1280x720_30.yuv,20,0,3000,22.20433632227907
videoSRC04_1280x720_30.yuv,20,0,4000,22.782794108136407
videoSRC04_1280x720_30.yuv,25,0,256,23.697363900770075
videoSRC04_1280x720_30.yuv,25,0,512,24.64861885585415
videoSRC04_1280x720_30.yuv,25,0,768,24.54541192636571
videoSRC04_1280x720_30.yuv,25,0,1000,24.413424905143987
videoSRC04_1280x720_30.yuv,25,0,1500,24.06033861024016
videoSRC04_1280x720_30.yuv,25,0,2000,24.07446014117659
videoSRC04_1280x720_30.yuv,25,0,3000,24.40555471434105
videoSRC04_1280x720_30.yuv,25,0,4000,25.037455696799906
videoSRC04_1280x720_30.yuv,30,0,256,24.70863517951209
videoSRC04_1280x720_30.yuv,30,0,512,25.72899088801751
videoSRC04_1280x720_30.yuv,30,0,768,25.92041115154641
videoSRC04_1280x720_30.yuv,30,0,1000,25.79193830732368
videoSRC04_1280x720_30.yuv,30,0,1500,26.051356663447205
videoSRC04_1280x720_30.yuv,30,0,2000,26.3149875675287
videoSRC04_1280x720_30.yuv,30,0,3000,26.726800387339313
videoSRC04_1280x720_30.yuv,30,0,4000,27.37790695369682
videoSRC04_1280x720_30.yuv,35,0,256,25.248798249042185
videoSRC04_1280x720_30.yuv,35,0,512,26.399941385628022
videoSRC04_1280x720_30.yuv,35,0,768,26.523610349467845
videoSRC04_1280x720_30.yuv,35,0,1000,26.714263105982152
videoSRC04_1280x720_30.yuv,35,0,1500,26.888638120014395
videoSRC04_1280x720_30.yuv,35,0,2000,27.470843553133957
videoSRC04_1280x720_30.yuv,35,0,3000,28.594863949035698
videoSRC04_1280x720_30.yuv,35,0,4000,29.445099742345292
videoSRC04_1280x720_30.yuv,40,0,256,25.573797244479923
